"bathy" "bathyrms" "slope" "aspect" "longitude" "latitude"
"1" NA NA NA NA 245 30
"2" NA NA NA NA 244.75 30
"3" NA NA NA NA 244.5 30
"4" NA NA NA NA 244.25 30
"5" -143.5 310.613800049 33.0495986938 258.74822998 244 30
"6" -1705 373.441772461 93.6460266113 239.276809692 243.75 30
"7" -2301.5 463.812957764 64.0392150879 201.404968262 243.5 30
"8" -2731 265.691955566 46.6520042419 172.068557739 243.25 30
"9" -2413.75 436.97442627 97.0525512695 203.675872803 243 30
"10" -2133 222.864593506 104.502456665 224.175750732 242.75 30
"11" -2183 549.592834473 143.18572998 229.052871704 242.5 30
"12" -3123.5 317.053100586 57.7245597839 230.489822388 242.25 30
"13" -3225.875 128.780838013 28.311630249 171.391265869 242 30
"14" -3236.5 116.931106567 52.2076339722 208.888275146 241.75 30
"15" -3483 79.7770767212 27.620929718 217.897735596 241.5 30
"16" -3573 40.5321769714 14.2478380203 234.059860229 241.25 30
"17" -3609.75 101.9324646 22.5380630493 247.475830078 241 30
"18" -3688.25 62.9432373047 30.7467498779 169.372039795 240.75 30
"19" -3727 107.228843689 30.6829490662 215.722686768 240.5 30
"20" -3768.375 112.012329102 35.5486450195 234.422729492 240.25 30
"21" -3751.5 417.986083984 107.094772339 180.409408569 240 30
"22" -3370 484.707824707 150.124710083 211.48651123 239.75 30
"23" -3862 313.651367188 67.8504257202 238.579528809 239.5 30
"24" -4038.25 246.545761108 28.1909599304 169.876602173 239.25 30
"25" -3988.5 254.862289429 28.8801612854 162.682373047 239 30
"26" -3945 41.6231384277 19.116985321 193.533111572 238.75 30
"27" -4029.5 83.5612487793 24.7914180756 231.43208313 238.5 30
"28" -4112.125 82.5600967407 35.8681221008 186.796600342 238.25 30
"29" -4173 63.0185470581 23.6601409912 225.747146606 238 30
"30" -4233 46.7416534424 17.0196380615 235.47454834 237.75 30
"31" -4269.75 75.2813720703 22.3813667297 166.353134155 237.5 30
"32" -4245 174.000457764 48.4475784302 175.798141479 237.25 30
"33" -4250.75 138.039047241 52.413433075 208.268157959 237 30
"34" -4287 79.3372421265 41.9399795532 181.383865356 236.75 30
"35" -4296 127.218963623 46.6413497925 210.312591553 236.5 30
"36" -4375 323.469207764 75.1317367554 142.818511963 236.25 30
"37" -4333 692.762756348 79.7727661133 159.473571777 236 30
"38" -4359 312.340454102 74.0197067261 173.544296265 235.75 30
"39" -4315 589.270263672 102.802947998 170.781646729 235.5 30
"40" -4384.5 210.716873169 45.9700622559 185.854660034 235.25 30
"41" -4336.75 218.769104004 44.7555923462 172.059143066 235 30
"42" -4322 402.1199646 86.0745620728 162.683746338 234.75 30
"43" -4311.25 139.474258423 59.4518737793 188.996063232 234.5 30
"44" -4394.75 68.104095459 44.1376495361 201.409729004 234.25 30
"45" -4412.5 60.9841918945 24.9446144104 158.215087891 234 30
"46" -4373 36.6437568665 21.0011806488 133.853973389 233.75 30
"47" -4347.5 34.4660606384 22.9885063171 161.618133545 233.5 30
"48" -4334.75 157.028762817 36.3572769165 212.574203491 233.25 30
"49" -4369.5 73.0627212524 36.4124221802 197.920684814 233 30
"50" -4369.75 85.9907608032 36.8751678467 174.984481812 232.75 30
"51" -4364 191.412887573 38.2405929565 163.10534668 232.5 30
"52" -4434.25 89.2794494629 30.4932937622 223.850082397 232.25 30
"53" -4510 123.138305664 31.9521942139 191.307769775 232 30
"54" -4527.5 84.7870864868 27.7212905884 179.540512085 231.75 30
"55" -4541.5 91.0268859863 28.3652687073 176.12588501 231.5 30
"56" -4598 260.392364502 56.4363327026 217.737747192 231.25 30
"57" -4610.25 193.981506348 48.7654418945 188.004928589 231 30
"58" -4609.75 102.841041565 31.4456653595 231.295196533 230.75 30
"59" -4665.5 86.9419937134 34.7034454346 193.818237305 230.5 30
"60" -4655 232.312332153 50.1552581787 167.24710083 230.25 30
"61" -4652.5 189.433181763 69.1326828003 175.50604248 230 30
"62" -4673 100.312065125 52.687538147 170.428741455 229.75 30
"63" -4671 122.068191528 42.1747589111 180.69984436 229.5 30
"64" -4684.25 77.6309280396 42.8297271729 166.362915039 229.25 30
"65" -4679.25 136.254135132 51.3180389404 171.28074646 229 30
"66" -4624.75 179.774307251 47.693069458 167.891387939 228.75 30
"67" -4551.375 102.939476013 40.22133255 160.027893066 228.5 30
"68" -4529 68.4059524536 36.3731155396 191.512985229 228.25 30
"69" -4579.25 96.4556427002 29.9217395782 199.912200928 228 30
"70" -4638 87.2505569458 31.1144714355 247.003677368 227.75 30
"71" -4675 100.926628113 32.0218887329 131.51763916 227.5 30
"72" -4555 85.0305709839 30.0104179382 123.408676147 227.25 30
"73" -4500 67.9315719604 28.802280426 183.080184937 227 30
"74" -4541 179.258911133 29.9718666077 209.617599487 226.75 30
"75" -4668 69.8881378174 30.5577659607 185.981842041 226.5 30
"76" -4633.25 95.7761764526 34.1384353638 180.704269409 226.25 30
"77" -4639 66.5262680054 37.1087341309 183.146499634 226 30
"78" -4678.5 91.305519104 22.980342865 159.063781738 225.75 30
"79" -4736.625 88.0772781372 21.3353748322 207.951705933 225.5 30
"80" -4846 138.031570435 43.7139816284 190.444335938 225.25 30
"81" -4878.5 145.013092041 47.4773826599 221.058303833 225 30
"82" NA NA NA NA 245 30.25
"83" NA NA NA NA 244.75 30.25
"84" NA NA NA NA 244.5 30.25
"85" NA NA NA NA 244.25 30.25
"86" -102.5 150.39112854 17.0685348511 242.842956543 244 30.25
"87" -1396.875 434.704528809 95.2075576782 239.803283691 243.75 30.25
"88" -1909.25 494.574066162 96.2401351929 220.395294189 243.5 30.25
"89" -2482 340.583129883 66.9247055054 212.41229248 243.25 30.25
"90" -2533.75 380.979125977 74.4771194458 193.032684326 243 30.25
"91" -2434.875 317.129943848 86.1585083008 193.744338989 242.75 30.25
"92" -2296.5 729.051330566 139.158630371 227.844421387 242.5 30.25
"93" -2735.5 587.31463623 75.8788452148 226.482131958 242.25 30.25
"94" -2888.75 349.685119629 51.9846496582 209.83895874 242 30.25
"95" -3079.25 242.781784058 53.1501922607 215.386413574 241.75 30.25
"96" -3314 165.832962036 32.0940246582 222.319671631 241.5 30.25
"97" -3562.625 134.336761475 21.5438919067 234.792053223 241.25 30.25
"98" -3652 129.671905518 27.5946445465 224.785125732 241 30.25
"99" -3728.5 87.3936691284 26.2196369171 215.661727905 240.75 30.25
"100" -3750 160.433670044 34.5752182007 185.35736084 240.5 30.25
"101" -3814 496.441162109 51.835319519 180.380523682 240.25 30.25
"102" -3796 830.231262207 105.650634766 186.443878174 240 30.25
"103" -3818.75 532.546264648 75.3482208252 233.877471924 239.75 30.25
"104" -3965 225.992828369 27.0033893585 176.57975769 239.5 30.25
"105" -3964.375 82.2725830078 16.9628314972 165.91343689 239.25 30.25
"106" -3926 79.8834609985 21.2456874847 160.74067688 239 30.25
"107" -3931 92.9736938477 23.5435714722 204.953826904 238.75 30.25
"108" -3988.125 86.6112365723 25.6124038696 210.076019287 238.5 30.25
"109" -4051.5 122.483169556 33.991191864 178.447967529 238.25 30.25
"110" -4157.5 84.0632171631 28.1506347656 206.214172363 238 30.25
"111" -4204 69.9214935303 17.5789051056 188.61541748 237.75 30.25
"112" -4173 174.583694458 27.952501297 160.065460205 237.5 30.25
"113" -4067 446.180511475 89.7987976074 163.015838623 237.25 30.25
"114" -4217 280.544708252 56.5782051086 216.447113037 237 30.25
"115" -4231 82.7996063232 41.5690155029 178.880355835 236.75 30.25
"116" -4224 124.799232483 41.178894043 183.830535889 236.5 30.25
"117" -4306 120.077972412 35.6287689209 184.318984985 236.25 30.25
"118" -4291.5 73.3037185669 28.6224098206 185.403030396 236 30.25
"119" -4300.5 166.163070679 32.6279983521 178.48135376 235.75 30.25
