"lat","lon","sst","bathy","bathyrms","slope","aspect","chl","uy10","wekm","eke","sshd"
30,225,18.7866668701,-4878.5,145.013092041,47.4773826599,221.058303833,0.0780000016093,-3.39585042,-2.54743508776e-06,0.00178008412917068,0.0424523986876
30,225.25,18.7749996185,-4846,138.031570435,43.7139816284,190.444335938,0.0758333355188,-3.31598997116,-4.53309803561e-06,0.00178008412917068,0.0424523986876
30,225.5,18.8624992371,-4736.625,88.0772781372,21.3353748322,207.951705933,0.0744999945164,-3.16828966141,-5.0597614063e-06,0.00389729668030959,0.036233201623
30,225.75,18.8316650391,-4678.5,91.305519104,22.980342865,159.063781738,0.074249997735,-3.38622927666,-5.64424681215e-06,0.00389729668030959,0.036233201623
30,226,18.8699989319,-4639,66.5262680054,37.1087341309,183.146499634,0.0761666670442,-3.35322880745,-4.46046306024e-06,0.0031602977051788,0.0443486012518
30,226.25,18.9666671753,-4633.25,95.7761764526,34.1384353638,180.704269409,0.0784000009298,-3.43820405006,-4.46046306024e-06,0.0031602977051788,0.0443486012518
30,226.5,18.9833335876,-4668,69.8881378174,30.5577659607,185.981842041,0.0782499983907,-3.39232349396,-4.46046306024e-06,0.00167389314171151,0.0459847003222
30,226.75,18.9616680145,-4541,179.258911133,29.9718666077,209.617599487,0.0811666697264,-3.45114350319,-4.58125168734e-06,0.00167389314171151,0.0459847003222
30,227,18.8250007629,-4500,67.9315719604,28.802280426,183.080184937,0.0805000066757,-3.66953706741,-8.29408577374e-08,0.000532801610173099,0.0457074008882
30,227.25,18.6800003052,-4555,85.0305709839,30.0104179382,123.408676147,0.0764499977231,-3.63085508347,-4.4836934876e-07,0.000532801610173099,0.0457074008882
30,227.5,17.6850013733,-4675,100.926628113,32.0218887329,131.51763916,0.082999996841,-3.79155182838,9.28762801777e-07,5.44516443808726e-05,0.0429676994681
30,227.75,17.6287498474,-4638,87.2505569458,31.1144714355,247.003677368,0.0869999974966,-4.13953876495,-2.38590791923e-06,5.44516443808726e-05,0.0429676994681
30,228,17.6175003052,-4579.25,96.4556427002,29.9217395782,199.912200928,0.0909999981523,-4.27201938629,-2.60301021626e-06,0.000224022709842415,0.0324602983892
30,228.25,17.7724990845,-4529,68.4059524536,36.3731155396,191.512985229,0.0932857170701,-3.9948656559,-2.60301021626e-06,0.000224022709842415,0.0324602983892
30,228.5,17.7019996643,-4551.375,102.939476013,40.22133255,160.027893066,0.0903749987483,-3.6740937233,-3.56404052582e-06,0.00109208170665666,0.0226096007973
30,228.75,17.563999176,-4624.75,179.774307251,47.693069458,167.891387939,0.0932499989867,-3.88387322426,-2.87766101792e-06,0.00109208170665666,0.0226096007973
30,229,17.5500011444,-4679.25,136.254135132,51.3180389404,171.28074646,0.091899998486,-3.86517095566,-2.31856529354e-06,0.00175670247621358,0.00755222002044
30,229.25,17.6900005341,-4684.25,77.6309280396,42.8297271729,166.362915039,0.0918750017881,-3.82015585899,-2.31856529354e-06,0.00175670247621358,0.00755222002044
30,229.5,17.7924995422,-4671,122.068191528,42.1747589111,180.69984436,0.0947500020266,-3.62301969528,-2.46298327511e-06,0.0022332632423427,-0.0107441004366
30,229.75,17.8070011139,-4673,100.312065125,52.687538147,170.428741455,0.0925999954343,-3.98502898216,-2.46298327511e-06,0.0022332632423427,-0.0107441004366
