"bathy" "longitude" "latitude"
"6157" -4878.5 225 30
"6158" -4846 225.25 30
"6159" -4736.625 225.5 30
"6160" -4678.5 225.75 30
"6161" -4639 226 30
"6162" -4633.25 226.25 30
"6163" -4668 226.5 30
"6164" -4541 226.75 30
"6165" -4500 227 30
"6166" -4555 227.25 30
"6167" -4675 227.5 30
"6168" -4638 227.75 30
"6169" -4579.25 228 30
"6170" -4529 228.25 30
"6171" -4551.375 228.5 30
"6172" -4624.75 228.75 30
"6173" -4679.25 229 30
"6174" -4684.25 229.25 30
"6175" -4671 229.5 30
"6176" -4673 229.75 30
"6177" -4652.5 230 30
"6178" -4655 230.25 30
"6179" -4665.5 230.5 30
"6180" -4609.75 230.75 30
"6181" -4610.25 231 30
"6182" -4598 231.25 30
"6183" -4541.5 231.5 30
"6184" -4527.5 231.75 30
"6185" -4510 232 30
"6186" -4434.25 232.25 30
"6187" -4364 232.5 30
"6188" -4369.75 232.75 30
"6189" -4369.5 233 30
"6190" -4334.75 233.25 30
"6191" -4347.5 233.5 30
"6192" -4373 233.75 30
"6193" -4412.5 234 30
"6194" -4394.75 234.25 30
"6195" -4311.25 234.5 30
"6196" -4322 234.75 30
"6197" -4336.75 235 30
"6198" -4384.5 235.25 30
"6199" -4315 235.5 30
"6200" -4359 235.75 30
"6201" -4333 236 30
"6202" -4375 236.25 30
"6203" -4296 236.5 30
"6204" -4287 236.75 30
"6205" -4250.75 237 30
"6206" -4245 237.25 30
"6207" -4269.75 237.5 30
"6208" -4233 237.75 30
"6209" -4173 238 30
"6210" -4112.125 238.25 30
"6211" -4029.5 238.5 30
"6212" -3945 238.75 30
"6213" -3988.5 239 30
"6214" -4038.25 239.25 30
"6215" -3862 239.5 30
"6216" -3370 239.75 30
"6217" -3751.5 240 30
"6218" -3768.375 240.25 30
"6219" -3727 240.5 30
"6220" -3688.25 240.75 30
"6221" -3609.75 241 30
"6222" -3573 241.25 30
"6223" -3483 241.5 30
"6224" -3236.5 241.75 30
"6225" -3225.875 242 30
"6226" -3123.5 242.25 30
"6227" -2183 242.5 30
"6228" -2133 242.75 30
"6229" -2413.75 243 30
"6230" -2731 243.25 30
"6231" -2301.5 243.5 30
"6232" -1705 243.75 30
"6233" -143.5 244 30
"6234" NA 244.25 30
"6235" NA 244.5 30
"6236" NA 244.75 30
"6237" NA 245 30
"6076" -4845.25 225 30.25
"6077" -4825.75 225.25 30.25
"6078" -4740.625 225.5 30.25
"6079" -4662 225.75 30.25
"6080" -4623.75 226 30.25
"6081" -4637.25 226.25 30.25
"6082" -4649.25 226.5 30.25
"6083" -4551 226.75 30.25
"6084" -4502.25 227 30.25
"6085" -4572.5 227.25 30.25
"6086" -4711 227.5 30.25
"6087" -4719 227.75 30.25
"6088" -4619.25 228 30.25
"6089" -4567.5 228.25 30.25
"6090" -4545 228.5 30.25
"6091" -4578 228.75 30.25
"6092" -4598.5 229 30.25
"6093" -4653.25 229.25 30.25
"6094" -4622 229.5 30.25
"6095" -4567.25 229.75 30.25
"6096" -4566 230 30.25
"6097" -4626.125 230.25 30.25
"6098" -4609.5 230.5 30.25
"6099" -4559 230.75 30.25
"6100" -4527.75 231 30.25
"6101" -4494 231.25 30.25
"6102" -4508.5 231.5 30.25
"6103" -4500 231.75 30.25
"6104" -4452.75 232 30.25
"6105" -4359.5 232.25 30.25
"6106" -4339 232.5 30.25
"6107" -4348 232.75 30.25
"6108" -4315 233 30.25
"6109" -4355.5 233.25 30.25
"6110" -4368.25 233.5 30.25
"6111" -4370 233.75 30.25
"6112" -4407.75 234 30.25
"6113" -4273.625 234.25 30.25
"6114" -4216 234.5 30.25
"6115" -4197.375 234.75 30.25
"6116" -4289.125 235 30.25
"6117" -4332.25 235.25 30.25
"6118" -4329.75 235.5 30.25
"6119" -4300.5 235.75 30.25
"6120" -4291.5 236 30.25
"6121" -4306 236.25 30.25
"6122" -4224 236.5 30.25
"6123" -4231 236.75 30.25
"6124" -4217 237 30.25
"6125" -4067 237.25 30.25
"6126" -4173 237.5 30.25
"6127" -4204 237.75 30.25
"6128" -4157.5 238 30.25
"6129" -4051.5 238.25 30.25
"6130" -3988.125 238.5 30.25
"6131" -3931 238.75 30.25
"6132" -3926 239 30.25
"6133" -3964.375 239.25 30.25
"6134" -3965 239.5 30.25
"6135" -3818.75 239.75 30.25
"6136" -3796 240 30.25
"6137" -3814 240.25 30.25
"6138" -3750 240.5 30.25
"6139" -3728.5 240.75 30.25
"6140" -3652 241 30.25
"6141" -3562.625 241.25 30.25
"6142" -3314 241.5 30.25
"6143" -3079.25 241.75 30.25
"6144" -2888.75 242 30.25
"6145" -2735.5 242.25 30.25
"6146" -2296.5 242.5 30.25
